right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,right_ankle_angle,left_ankle_angle,phase,exc_type,form,accuracy,correction_needed,feedback_tag
98.39489859136928,77.21981540446332,85.95590166949351,98.79022033401844,78.89431195644522,101.53564880202173,97.01916473349443,91.22975169232528,87.67343239113998,82.33379810735936,start,pushup,good,95.29,False,
81.33265511431014,94.43110131549396,99.68672370213156,97.77048787777424,75.75654761822874,95.69454308063874,82.34002234387277,88.180911667786,67.77383561947187,92.9323385788783,start,pushup,good,85.27,False,
82.67816466573241,95.43601996651212,65.75275095449948,108.28911109737132,78.83930686540278,87.3486857124512,97.27484236194812,97.8901178841182,85.43527898496865,88.21851301686802,end,pushup,good,85.5,False,
82.2011745477897,95.5343943178304,91.90854390953882,87.31666714941859,109.76094360414332,95.9664097190062,104.23225415690072,98.39358155467151,107.82872616155304,93.91455616490248,start,pushup,good,92.98,False,
90.86463447606364,86.99585393988033,82.3552176608792,86.89726184612967,89.6306975592633,94.88457805662958,92.47952887628362,75.8460838583367,94.09637628083412,104.77439693736062,mid,pushup,good,95.39,False,
96.1585660719206,90.73804816563948,89.87181171082992,101.55091133769098,106.05374450924468,80.24051294501147,83.92833982024088,92.14134189085502,98.90491369853146,107.65566161928028,start,pushup,good,85.62,False,
89.03468141196932,102.1201292962529,69.46800104569037,87.21420691593015,82.73046966798954,75.77389982966436,80.51386131402779,87.39981166431012,76.94404411771035,89.62620934041945,start,pushup,good,89.89,False,
102.31363624017789,101.76644654064836,96.49559862226737,109.8694697754316,82.22140847922996,93.74317288490258,102.98044987440566,96.59469891587634,82.96766309376265,84.8286950522491,start,pushup,good,94.04,False,
91.98419284693244,101.58760764700648,92.58984681036785,83.03334774793329,75.29668563642495,90.65247664807175,87.80729984346829,75.25755535056612,90.40313076905312,63.39266137128409,end,pushup,good,95.67,False,
76.5249753042286,73.98192195946231,89.99804126630328,99.3471963502813,87.57254218146036,87.72144246941468,88.38430828736989,88.84743761937108,75.33769560527377,93.05456947458076,mid,pushup,good,90.49,False,
